Run Name,Label,Begin,Duration (us),PKG (uJ),DRAM (uJ)
origin_63,run,Thu Nov 21 17:22:33 2024,696315378.6770,7111385970.0000,213970522.0000
michel_63,run,Thu Nov 21 17:34:15 2024,390095417.8770,3470787075.0000,119161927.0000
origin_63,run,Thu Nov 21 17:40:50 2024,738076920.3320,6645451493.0000,223797889.0000
michel_63,run,Thu Nov 21 17:53:14 2024,370635857.9480,3515129124.0000,112677690.0000
origin_63,run,Thu Nov 21 17:59:30 2024,796805749.8700,6777608687.0000,242723255.0000
michel_63,run,Thu Nov 21 18:12:52 2024,371516060.2670,3444642366.0000,111778462.0000
origin_63,run,Thu Nov 21 18:19:09 2024,770123577.3310,6631898183.0000,233150099.0000
michel_63,run,Thu Nov 21 18:32:05 2024,389631031.9140,3454440986.0000,119249939.0000
origin_63,run,Thu Nov 21 18:38:40 2024,749882396.3480,6581220701.0000,225342379.0000
michel_63,run,Thu Nov 21 18:51:15 2024,388033036.0970,3435508906.0000,117379949.0000
origin_63,run,Thu Nov 21 18:57:49 2024,731590884.9420,6995058386.0000,222958596.0000
michel_63,run,Thu Nov 21 19:10:06 2024,411530975.6370,3308688001.0000,124361254.0000
