Run Name,Label,Begin,Duration (us),PKG (uJ),DRAM (uJ)
origin_90,run,Tue Oct 29 00:43:24 2024,731808756.9140,7278157149.0000,489980496.0000
michel_90,run,Tue Oct 29 00:55:41 2024,733125931.4250,7084397330.0000,491206018.0000
origin_90,run,Tue Oct 29 01:08:00 2024,690367757.6870,7306238132.0000,462768835.0000
michel_90,run,Tue Oct 29 01:19:36 2024,720603916.5160,7200673522.0000,483598738.0000
origin_90,run,Tue Oct 29 01:31:42 2024,691775097.9210,7230783552.0000,463848544.0000
michel_90,run,Tue Oct 29 01:43:19 2024,690711925.3610,7146860916.0000,462443336.0000
origin_90,run,Tue Oct 29 01:54:55 2024,737324577.2730,7061377186.0000,492997456.0000
michel_90,run,Tue Oct 29 02:07:18 2024,672252928.9510,7306475619.0000,451001104.0000
origin_90,run,Tue Oct 29 02:18:35 2024,693674596.2360,7446461101.0000,464668183.0000
michel_90,run,Tue Oct 29 02:30:15 2024,640378913.3260,7466749867.0000,425134898.0000
origin_90,run,Tue Oct 29 02:41:00 2024,699692698.9000,7326536176.0000,470139360.0000
origin_90,run,Tue Oct 29 03:04:15 2024,665621004.8050,7360929154.0000,447318984.0000
michel_90,run,Tue Oct 29 03:15:26 2024,667357942.0910,7465617667.0000,445509663.0000
origin_90,run,Tue Oct 29 03:26:39 2024,745748679.8930,7150638433.0000,497174325.0000
michel_90,run,Tue Oct 29 03:39:10 2024,693567153.0330,7202279047.0000,462976049.0000
origin_90,run,Tue Oct 29 03:50:49 2024,705274428.6190,7330393405.0000,472556713.0000
michel_90,run,Tue Oct 29 04:02:40 2024,720803490.4190,7099361525.0000,480276114.0000
origin_90,run,Tue Oct 29 04:14:46 2024,730471604.0360,7098295122.0000,493443317.0000
michel_90,run,Tue Oct 29 04:27:02 2024,676371803.3880,7342201785.0000,451959903.0000
