Run Name,Label,Begin,Duration (us),PKG (uJ),DRAM (uJ)
origin_61,run,Mon Oct 28 22:00:40 2024,533418438.3730,4474929279.0000,359381160.0000
michel_61,run,Mon Oct 28 22:09:39 2024,439280949.8110,4334654492.0000,298295378.0000
origin_61,run,Mon Oct 28 22:17:03 2024,544541370.5070,4530048828.0000,368670138.0000
michel_61,run,Mon Oct 28 22:26:13 2024,462627743.6470,3839270933.0000,312433649.0000
origin_61,run,Mon Oct 28 22:34:01 2024,516252226.2090,4639448634.0000,346023833.0000
michel_61,run,Mon Oct 28 22:42:43 2024,463011157.5640,4093315449.0000,312451471.0000
origin_61,run,Mon Oct 28 22:50:31 2024,532148228.8550,4391228810.0000,356843996.0000
michel_61,run,Mon Oct 28 22:59:29 2024,406225594.5910,4189461870.0000,273609407.0000
origin_61,run,Mon Oct 28 23:06:21 2024,487874635.9350,4757322111.0000,326756366.0000
michel_61,run,Mon Oct 28 23:14:34 2024,464826279.2980,4187458701.0000,313522513.0000
origin_61,run,Mon Oct 28 23:22:24 2024,539929884.3250,4435099120.0000,364014754.0000
michel_61,run,Mon Oct 28 23:31:30 2024,427573443.7560,4130185411.0000,284779605.0000
origin_61,run,Mon Oct 28 23:38:43 2024,501869361.2760,4989639326.0000,335608028.0000
michel_61,run,Mon Oct 28 23:47:10 2024,465190131.2190,4117291706.0000,312330743.0000
origin_61,run,Mon Oct 28 23:55:01 2024,513778075.2430,4685044525.0000,347465785.0000
michel_61,run,Tue Oct 29 00:03:40 2024,455712721.2000,3917130720.0000,304438613.0000
origin_61,run,Tue Oct 29 00:11:21 2024,523889536.6480,4519844325.0000,353056530.0000
michel_61,run,Tue Oct 29 00:20:11 2024,428890813.8370,4230254490.0000,288803033.0000
origin_61,run,Tue Oct 29 00:27:25 2024,478886987.7550,4685015839.0000,322993680.0000
michel_61,run,Tue Oct 29 00:35:29 2024,469176655.0430,3907460578.0000,312234430.0000
